Product,Issue,Company,State,Consumer disputed?,Cluster
Credit card,APR or interest rate,Capital One,TX,No,3
Debt collection,"Loan modification,collection,foreclosure","JH Portfolio Debt Equities, LLC",IL,Yes,1
Credit reporting,Unable to get credit report/credit score,Equifax,CA,No,0
Mortgage,"Application, originator, mortgage broker",Bank of America,FL,Yes,4
Mortgage,"Loan servicing, payments, escrow account",Selene Finance,OK,No,13
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MO,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Regions Financial Corporation,MN,No,13
Bank account or service,"Making/receiving payments, sending money",Navy FCU,NJ,No,16
Debt collection,Improper contact or sharing of info,"Expert Global Solutions, Inc.",OH,No,0
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,OH,No,7
Credit card,Closing/Cancelling account,Citibank,FL,No,3
Bank account or service,"Account opening, closing, or management",Fifth Third Financial Corporation,IL,No,0
Bank account or service,Deposits and withdrawals,TD Bank US Holding Company,PA,No,2
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,WA,No,9
Student loan,Can't repay my loan,ACS Education Services,OH,Yes,4
Bank account or service,Problems caused by my funds being low,First Tennessee Bank,TN,No,19
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,PA,No,7
Consumer Loan,Problems when you are unable to pay,Ally Financial Inc.,PA,No,11
Student loan,Repaying your loan,AES/PHEAA,PA,No,11
Credit card,Billing disputes,Discover,OH,No,0
Debt collection,Improper contact or sharing of info,Bank of America,MA,Yes,4
Prepaid card,Unauthorized transactions/trans. issues,Citibank,OK,No,3
Credit card,Billing statement,Citibank,DE,No,3
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,Yes,8
Credit card,Payoff process,Citibank,AZ,No,3
Debt collection,"Loan modification,collection,foreclosure","ONLINE Information Services, Inc.",MD,No,6
Mortgage,"Loan servicing, payments, escrow account",Round Point Mortgage,GA,No,13
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NC,Yes,8
Student loan,Getting a loan,Education Management Corporation,MN,Yes,12
Debt collection,False statements or representation,Credit Bureau of Napa,VA,No,3
Debt collection,Communication tactics,Encore Capital Group,MI,No,0
Debt collection,False statements or representation,Van Ru Credit Corporation,CA,No,9
Mortgage,"Loan servicing, payments, escrow account",Ocwen,GA,Yes,8
Consumer Loan,Managing the loan or lease,Ditech Financial LLC,SC,No,0
Debt collection,Improper contact or sharing of info,"Regional Acquisition Group, Inc.",OH,No,13
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",NE,No,16
Student loan,Dealing with my lender or servicer,AES/PHEAA,OH,No,11
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,VA,No,16
Consumer Loan,Problems when you are unable to pay,Exeter Finance Corp,NY,No,0
Bank account or service,"Account opening, closing, or management",FirstBank of Puerto Rico,FL,No,19
Mortgage,"Application, originator, mortgage broker",Nationstar Mortgage,NY,No,16
Credit reporting,Credit reporting company's investigation,Equifax,AZ,No,0
Credit card,Advertising and marketing,Citibank,LA,No,3
Bank account or service,"Account opening, closing, or management",Citibank,NY,No,3
Bank account or service,Using a debit or ATM card,Bank of America,CA,Yes,4
Mortgage,Settlement process and costs,Ocwen,WA,Yes,8
Debt collection,Taking/threatening an illegal action,"Convergent Resources, Inc.",TX,Yes,10
Debt collection,Communication tactics,Ditech Financial LLC,AR,Yes,12
Debt collection,"Loan modification,collection,foreclosure","Receivables Management Partners, LLC",MD,No,13
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,CO,No,6
Mortgage,"Loan servicing, payments, escrow account",Ocwen,FL,No,6
Bank account or service,"Account opening, closing, or management",Bank of America,FL,No,17
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,OR,No,0
Debt collection,Communication tactics,"Integrity Solution Services, Inc.",TN,No,7
Consumer Loan,Problems when you are unable to pay,"OneMain Financial Holdings, LLC",CA,No,6
Student loan,Can't repay my loan,"Navient Solutions, Inc.",TX,Yes,8
Credit card,Identity theft / Fraud / Embezzlement,Capital One,VA,No,3
Credit card,Credit line increase/decrease,Synchrony Financial,CA,No,2
Debt collection,"Loan modification,collection,foreclosure",Alorica Inc.,TN,No,11
Bank account or service,Problems caused by my funds being low,U.S. Bancorp,IL,Yes,15
Debt collection,Improper contact or sharing of info,Allied Interstate LLC,OH,Yes,4
Credit card,Delinquent account,Capital One,CA,Yes,10
Credit card,APR or interest rate,Capital One,CA,No,3
Consumer Loan,Problems when you are unable to pay,Consumer Portfolio Services,PA,Yes,10
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,NY,No,11
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MA,Yes,1
Credit card,Payoff process,JPMorgan Chase & Co.,WA,No,7
Credit card,Credit line increase/decrease,Capital One,MA,No,3
Consumer Loan,Taking out the loan or lease,"CashCall, Inc.",FL,No,3
Credit card,Billing disputes,Amex,VA,No,11
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,FL,No,16
Payday loan,Charged fees or interest I didn't expect,"Enova International, Inc.",MD,No,0
Prepaid card,Unauthorized transactions/trans. issues,"Incomm Holdings, Inc.",CA,No,7
Mortgage,"Application, originator, mortgage broker","SunTrust Banks, Inc.",TN,No,2
Credit card,APR or interest rate,Discover,NY,No,0
Student loan,Dealing with my lender or servicer,JPMorgan Chase & Co.,SC,No,7
Debt collection,Communication tactics,"EZCORP, Inc.",TX,Yes,12
Debt collection,False statements or representation,Citibank,NC,No,3
Mortgage,"Application, originator, mortgage broker",Quicken Loans,MD,No,13
