Product,Issue,Company,State,Consumer disputed?,Cluster
Credit reporting,Improper use of my credit report,Experian,CA,No,0
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,SC,No,0
Bank account or service,"Account opening, closing, or management",Citibank,PA,No,3
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,DC,No,11
Student loan,Repaying your loan,AES/PHEAA,GA,No,11
Debt collection,"Loan modification,collection,foreclosure","National Credit Systems,Inc.",TX,No,16
Credit card,Billing disputes,"Expert Global Solutions, Inc.",OK,Yes,12
Credit reporting,Unable to get credit report/credit score,Experian,NC,No,0
Debt collection,"Loan modification,collection,foreclosure","Optimum Outcomes, Inc.",TX,No,6
Consumer Loan,Managing the loan or lease,U.S. Bancorp,NY,Yes,15
Credit reporting,Improper use of my credit report,Experian,TN,No,0
Debt collection,False statements or representation,Financial Corporation of America,AZ,No,0
Mortgage,"Application, originator, mortgage broker",Ocwen,DC,No,6
Mortgage,"Application, originator, mortgage broker",Citibank,LA,No,3
Credit card,Billing disputes,Bank of America,TX,No,17
Credit card,Application processing delay,Synchrony Financial,WI,No,2
Debt collection,"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,NE,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Credit card,Closing/Cancelling account,Discover,WA,No,0
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,TX,No,16
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,VA,No,0
Bank account or service,"Making/receiving payments, sending money",Wells Fargo & Company,MD,No,9
Debt collection,"Loan modification,collection,foreclosure","JH Portfolio Debt Equities, LLC",CA,No,7
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,NE,No,9
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,CA,No,0
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,GA,No,9
Debt collection,Improper contact or sharing of info,"Evergreen Professional Recoveries, Inc.",WA,No,0
Credit reporting,Credit monitoring or identity protection,Equifax,CA,No,0
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,DE,No,9
Mortgage,"Loan servicing, payments, escrow account",Bank of America,AZ,No,17
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,CO,No,9
Credit card,Advertising and marketing,Bank of America,FL,No,17
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NJ,No,0
Mortgage,Settlement process and costs,Bank of America,OH,No,17
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",PA,Yes,8
Bank account or service,"Account opening, closing, or management",Citibank,TX,No,3
Credit card,Credit determination,Bank of the West,CA,No,17
Credit reporting,Credit reporting company's investigation,Experian,CA,No,0
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",MA,No,14
Debt collection,Communication tactics,Gatestone & Co. International Inc.,CA,No,19
Credit reporting,Unable to get credit report/credit score,Experian,PA,No,0
Bank account or service,Problems caused by my funds being low,Bank of America,TX,No,17
Debt collection,Communication tactics,"Conn's, Inc.",TX,No,3
Student loan,Dealing with my lender or servicer,ACS Education Services,AL,No,11
Bank account or service,Problems caused by my funds being low,Regions Financial Corporation,TN,No,13
Credit card,Billing disputes,Wells Fargo & Company,ME,Yes,15
Credit reporting,Credit reporting company's investigation,Experian,NY,No,0
Credit card,Identity theft / Fraud / Embezzlement,Capital One,NJ,No,3
Mortgage,"Loan servicing, payments, escrow account",Ocwen,VA,No,6
Credit card,Billing disputes,Citibank,FL,Yes,10
Consumer Loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,GA,Yes,18
Mortgage,"Loan servicing, payments, escrow account",Lender Live,CA,Yes,1
Student loan,Repaying your loan,Wells Fargo & Company,AK,Yes,15
Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",NC,No,13
Student loan,Can't repay my loan,Wells Fargo & Company,CA,No,9
Debt collection,"Loan modification,collection,foreclosure",Citibank,CT,No,3
Mortgage,"Loan servicing, payments, escrow account",EverBank,OK,No,0
Debt collection,Improper contact or sharing of info,"The CBE Group, Inc.",NY,Yes,5
Debt collection,False statements or representation,"Pinnacle Credit Services, LLC",FL,No,6
Mortgage,"Loan servicing, payments, escrow account",Bank of America,WA,No,17
Consumer Loan,Managing the loan or lease,Cottonwood Financial Ltd.,NM,Yes,10
Debt collection,"Loan modification,collection,foreclosure",Business & Professional Collection Service Inc,CO,No,17
Bank account or service,Problems caused by my funds being low,TCF National Bank,MI,No,2
Credit reporting,Credit reporting company's investigation,Experian,TX,No,0
Debt collection,Communication tactics,Encore Capital Group,NY,No,0
Credit reporting,Credit monitoring or identity protection,"TransUnion Intermediate Holdings, Inc.",NJ,No,14
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MO,Yes,12
Bank account or service,Problems caused by my funds being low,"Citizens Financial Group, Inc.",MI,No,3
Debt collection,False statements or representation,"Pinnacle Credit Services, LLC",FL,Yes,8
Student loan,Can't repay my loan,Transworld Systems Inc.,MA,No,14
Debt collection,"Loan modification,collection,foreclosure","Convergent Resources, Inc.",CA,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,RI,No,17
Credit card,Delinquent account,Citibank,FL,No,3
Consumer Loan,Managing the loan or lease,Great American Finance Co,CA,No,19
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Credit card,APR or interest rate,JPMorgan Chase & Co.,VA,No,7
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",IL,No,16
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,Yes,8
Consumer Loan,Problems when you are unable to pay,Wells Fargo & Company,NJ,No,9
Student loan,Problems when you are unable to pay,Student Assistance Foundation,OR,Yes,5
Mortgage,"Application, originator, mortgage broker",Ocwen,NC,No,6
Consumer Loan,Problems when you are unable to pay,BBVA Compass,AR,No,17
Credit card,Advertising and marketing,Discover,SD,No,0
Mortgage,"Loan servicing, payments, escrow account",21st Mortgage Corporation,CA,Yes,4
Mortgage,"Application, originator, mortgage broker",BB&T Financial,AL,No,17
Mortgage,"Application, originator, mortgage broker",Residential Credit Solutions,WV,No,13
Credit reporting,Unable to get credit report/credit score,Equifax,IL,No,0
Debt collection,False statements or representation,"Mel S. Harris and Associates, LLC",NY,No,16
Bank account or service,"Account opening, closing, or management",Citibank,MD,No,3
Credit reporting,Improper use of my credit report,Equifax,VA,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,VA,No,17
Mortgage,"Application, originator, mortgage broker","Caliber Home Loans, Inc",OK,Yes,10
Bank account or service,Problems caused by my funds being low,People's United Bank,NY,No,6
Mortgage,Credit decision / Underwriting,Round Point Mortgage,NY,No,13
Credit reporting,Credit reporting company's investigation,Equifax,FL,Yes,12
Debt collection,"Loan modification,collection,foreclosure","Columbia Collection Service, Inc.",NV,Yes,10
Other financial service,Advertising and marketing,The Western Union Company,UT,No,14
Bank account or service,"Account opening, closing, or management",Citibank,UT,No,3
Credit card,Delinquent account,Synchrony Financial,CA,No,2
Student loan,Getting a loan,Sallie Mae,ID,Yes,18
Consumer Loan,Taking out the loan or lease,Credit Acceptance Corporation,IL,No,3
Bank account or service,"Account opening, closing, or management",PNC Bank N.A.,MI,No,6
Debt collection,Communication tactics,Action Collection Service,CA,Yes,4
Credit card,APR or interest rate,Discover,MO,No,0
Bank account or service,Problems caused by my funds being low,Bank of America,AZ,No,17
Credit reporting,Unable to get credit report/credit score,Equifax,AL,Yes,12
Mortgage,"Application, originator, mortgage broker",Bank of America,OR,No,17
Credit reporting,Credit reporting company's investigation,Experian,IL,No,0
Debt collection,False statements or representation,"Diversified Consultants, Inc.",MA,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,OH,No,17
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,AL,No,0
Bank account or service,Problems caused by my funds being low,BB&T Financial,VA,Yes,4
Debt collection,"Loan modification,collection,foreclosure","Convergent Resources, Inc.",TX,No,3
Bank account or service,"Making/receiving payments, sending money",Capital One,LA,No,3
Consumer Loan,Problems when you are unable to pay,"Credit Central Holdings, LLC",SC,No,3
Credit reporting,Unable to get credit report/credit score,Equifax,TX,No,0
Mortgage,"Loan servicing, payments, escrow account",Citibank,FL,No,3
Credit card,Unsolicited issuance of credit card,JPMorgan Chase & Co.,VA,No,7
Credit card,Credit card protection / Debt protection,Citibank,FL,No,3
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",MA,No,16
Bank account or service,"Account opening, closing, or management",Citibank,NY,No,3
Credit card,Billing disputes,Citibank,FL,No,3
Credit reporting,Unable to get credit report/credit score,Equifax,LA,No,0
Consumer Loan,Problems when you are unable to pay,"OneMain Financial Holdings, LLC",OH,No,6
Debt collection,Communication tactics,"Credit Solutions, LLC (KY)",TN,No,0
Debt collection,False statements or representation,Ditech Financial LLC,ID,Yes,12
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",VA,No,14
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.,GA,No,7
Bank account or service,"Account opening, closing, or management",Citibank,FL,No,3
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,No,16
Debt collection,False statements or representation,"Portfolio Recovery Associates, Inc.",NJ,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Credit reporting,Improper use of my credit report,Experian,GA,No,0
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,CA,No,14
Debt collection,Taking/threatening an illegal action,Encore Capital Group,GA,Yes,12
Credit reporting,Unable to get credit report/credit score,Equifax,TX,No,0
Debt collection,"Loan modification,collection,foreclosure","Harvard Collections, LLC",TX,No,19
Credit card,Billing disputes,U.S. Bancorp,IL,No,14
Credit card,Customer service / Customer relations,Wells Fargo & Company,FL,Yes,15
Mortgage,"Application, originator, mortgage broker",Ocwen,IL,No,6
Mortgage,"Loan servicing, payments, escrow account",Bank of America,FL,No,17
Mortgage,"Loan servicing, payments, escrow account",Ocwen,MI,No,6
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MO,No,7
Debt collection,"Loan modification,collection,foreclosure","EOS Holdings, Inc.",TX,No,0
Debt collection,Communication tactics,Prince Parker & Associates,IL,No,6
Mortgage,"Loan servicing, payments, escrow account",M&T Bank Corporation,MD,No,7
Credit card,Closing/Cancelling account,Santander Bank US,PA,No,13
Prepaid card,Unauthorized transactions/trans. issues,"Empowerment Ventures, LLC",NY,No,0
Mortgage,"Loan servicing, payments, escrow account",Loan Care,DC,No,7
Debt collection,"Loan modification,collection,foreclosure",Ditech Financial LLC,FL,No,0
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",MA,No,16
Credit card,Customer service / Customer relations,Citibank,OK,No,3
Credit card,Billing disputes,Capital One,CA,No,3
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,FL,No,9
Credit card,Billing disputes,Capital One,TX,No,3
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,DC,No,14
Bank account or service,Problems caused by my funds being low,U.S. Bancorp,CA,No,14
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,IL,No,6
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,OR,Yes,15
Mortgage,Credit decision / Underwriting,Wells Fargo & Company,AL,No,9
Mortgage,"Application, originator, mortgage broker",Bank of America,MD,No,17
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,TX,No,16
Credit reporting,Credit reporting company's investigation,Equifax,UT,No,0
Consumer Loan,Taking out the loan or lease,Wells Fargo & Company,VA,No,9
Debt collection,Communication tactics,Synchrony Financial,GA,No,2
Money transfers,Money was not available when promised,Wells Fargo & Company,MN,No,9
Credit reporting,Credit reporting company's investigation,Experian,NY,No,0
Debt collection,"Loan modification,collection,foreclosure","Tsarouhis Law Group, LLC",PA,Yes,5
Debt collection,"Loan modification,collection,foreclosure","Harvard Collections, LLC",TN,No,19
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",FL,No,6
Credit card,Closing/Cancelling account,Citibank,MN,Yes,10
Bank account or service,Using a debit or ATM card,"Citizens Financial Group, Inc.",OH,No,3
Credit reporting,Credit reporting company's investigation,Equifax,FL,Yes,12
Credit card,Billing statement,Barclays PLC,GA,No,17
Bank account or service,"Making/receiving payments, sending money",Wells Fargo & Company,FL,No,9
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,FL,No,7
Credit card,Credit determination,JPMorgan Chase & Co.,CT,No,7
Mortgage,"Loan servicing, payments, escrow account",Arbor Residential Mortgage LLC,CA,Yes,4
Credit card,Unsolicited issuance of credit card,Synchrony Financial,CA,No,2
Debt collection,"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,MD,No,19
Debt collection,False statements or representation,Stellar Recovery Inc.,TN,Yes,5
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,NJ,No,7
Debt collection,Communication tactics,Commercial Recovery Systems,NY,No,3
Consumer Loan,Shopping for a loan or lease,"Prosper Marketplace, Inc.",FL,Yes,18
Bank account or service,"Account opening, closing, or management",HSBC North America Holdings Inc.,FL,No,19
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,Yes,8
Credit reporting,Credit reporting company's investigation,Equifax,OH,Yes,12
Bank account or service,Deposits and withdrawals,"SunTrust Banks, Inc.",FL,No,2
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",DC,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,IL,No,0
Credit reporting,Improper use of my credit report,First Advantage Corporation,KS,No,19
Debt collection,Communication tactics,"MNE Services, Inc",NJ,No,7
Debt collection,Communication tactics,Synchrony Financial,SC,No,2
Bank account or service,Problems caused by my funds being low,PNC Bank N.A.,PA,No,6
Credit card,Closing/Cancelling account,Capital One,UT,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,MS,No,17
Debt collection,Taking/threatening an illegal action,Hatfield Portfolio Group LLC.,AL,No,19
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,CA,No,0
Mortgage,"Loan servicing, payments, escrow account",Ocwen,WA,No,6
Debt collection,"Loan modification,collection,foreclosure","Kross, Lieberman & Stone, Inc.",NC,No,7
Bank account or service,"Account opening, closing, or management",Bank of America,TX,Yes,4
Debt collection,Taking/threatening an illegal action,Kauntey Mediation Services LLC,CA,No,7
Mortgage,"Loan servicing, payments, escrow account",Synchrony Financial,GA,No,2
Credit reporting,Credit reporting company's investigation,Equifax,TX,Yes,12
Credit card,Billing disputes,Synchrony Financial,MI,Yes,5
Mortgage,"Loan servicing, payments, escrow account",Vanderbilt Mortgage & Finance,SC,No,9
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",IL,Yes,5
Debt collection,Improper contact or sharing of info,"John C. Bonewicz, P.C.",CA,No,7
Bank account or service,Deposits and withdrawals,Bank of America,CA,No,17
Debt collection,"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,NY,No,19
Bank account or service,"Account opening, closing, or management",Citibank,CA,No,3
Credit reporting,Unable to get credit report/credit score,Experian,FL,No,0
Debt collection,Communication tactics,GC Services Limited Partnership,NC,Yes,12
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,CA,Yes,15
Mortgage,"Application, originator, mortgage broker",Morgan Stanley,IL,Yes,8
Credit reporting,Improper use of my credit report,Equifax,GA,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Yes,4
Credit card,Credit determination,Capital One,TX,No,3
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",CA,No,14
Consumer Loan,Problems when you are unable to pay,Citibank,WA,No,3
Bank account or service,"Making/receiving payments, sending money",Bank of America,TX,No,17
Mortgage,"Application, originator, mortgage broker",Freedom Mortgage,CA,No,19
Bank account or service,"Making/receiving payments, sending money",Wells Fargo & Company,NV,Yes,15
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,OH,No,9
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",NC,No,6
Credit card,APR or interest rate,Discover,CA,Yes,12
Credit card,Credit determination,Barclays PLC,FL,No,17
Consumer Loan,Taking out the loan or lease,Ace Motor Acceptance Corporation,GA,No,11
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",GA,Yes,8
Credit reporting,Credit monitoring or identity protection,Equifax,TX,Yes,12
Bank account or service,Problems caused by my funds being low,Bank of America,CT,Yes,4
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",NY,Yes,5
Credit card,Delinquent account,Capital One,VA,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NY,No,17
Student loan,Repaying your loan,AES/PHEAA,PA,No,11
Debt collection,False statements or representation,Rose Agency Inc.,MI,No,13
Credit reporting,Credit reporting company's investigation,Equifax,NC,No,0
Bank account or service,Using a debit or ATM card,Wells Fargo & Company,PA,No,9
Credit card,Late fee,Bank of America,AK,No,17
Credit reporting,Credit reporting company's investigation,Equifax,FL,No,0
Student loan,Dealing with my lender or servicer,Discover,MA,No,0
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",VA,No,6
Credit card,Billing disputes,Capital One,MA,Yes,10
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,KY,No,9
Mortgage,"Loan servicing, payments, escrow account",Provident Funding,FL,No,6
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,NJ,Yes,12
Mortgage,Credit decision / Underwriting,Ocwen,NV,No,6
Credit card,APR or interest rate,Synchrony Financial,CA,No,2
Mortgage,"Application, originator, mortgage broker",Nationstar Mortgage,GA,No,16
Debt collection,"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,FL,Yes,1
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",VA,No,14
Virtual currency,Fraud or scam,"Coinbase, Inc.",MN,Yes,10
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MI,Yes,1
Credit card,Credit line increase/decrease,Capital One,TN,No,3
Debt collection,Communication tactics,"URS Holding, LLC",CT,No,14
Debt collection,Improper contact or sharing of info,"Valarity, LLC",MO,Yes,15
Mortgage,Settlement process and costs,JPMorgan Chase & Co.,IN,No,7
Credit card,Unsolicited issuance of credit card,Wells Fargo & Company,WI,Yes,15
Debt collection,False statements or representation,"I.C. System, Inc.",NC,No,7
Bank account or service,"Account opening, closing, or management","Citizens Financial Group, Inc.",DE,No,3
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,No,9
Credit card,Transaction issue,TD Bank US Holding Company,OH,Yes,5
Credit card,Rewards,Amex,GA,Yes,4
Credit card,APR or interest rate,Amex,GA,Yes,4
Bank account or service,Deposits and withdrawals,USAA Savings,OR,No,14
Student loan,Dealing with my lender or servicer,Great Lakes,VA,No,19
Bank account or service,"Account opening, closing, or management",Santander Bank US,MA,No,13
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MI,No,0
Mortgage,"Loan servicing, payments, escrow account","Seterus, Inc.",IL,Yes,18
Debt collection,Taking/threatening an illegal action,"Credit Service of Central Washington, Inc.",WA,Yes,12
Prepaid card,"Managing, opening, or closing account",Blackhawk Network Holdings Inc.,CA,No,17
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,No,9
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,NJ,No,7
Bank account or service,"Account opening, closing, or management",Trustmark Corporation,GA,Yes,5
Credit reporting,Credit reporting company's investigation,Equifax,GA,No,0
Mortgage,"Loan servicing, payments, escrow account",Ocwen,GA,No,6
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",MO,Yes,8
Bank account or service,"Account opening, closing, or management",BB&T Financial,FL,No,17
Bank account or service,"Account opening, closing, or management",Bank of America,RI,No,17
Debt collection,Communication tactics,ERC,PA,No,0
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",CA,No,14
Credit reporting,Improper use of my credit report,Equifax,TX,No,0
Credit reporting,Credit monitoring or identity protection,Experian,MD,No,0
Debt collection,Communication tactics,"Praxis Financial Solutions, Incorporated",FL,No,6
Credit card,Late fee,Bank of America,FL,No,17
Debt collection,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,NJ,No,7
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,PA,Yes,12
Credit card,Application processing delay,Bank of America,TX,Yes,4
Prepaid card,"Managing, opening, or closing account","PayPal Holdings, Inc.",CA,No,6
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",LA,No,14
Debt collection,"Loan modification,collection,foreclosure",Barclays PLC,WA,Yes,4
Bank account or service,"Account opening, closing, or management",Synchrony Financial,SC,No,2
Bank account or service,Deposits and withdrawals,Bank of America,OR,No,17
Debt collection,Improper contact or sharing of info,JPMorgan Chase & Co.,CA,Yes,1
Mortgage,"Loan servicing, payments, escrow account",HSBC North America Holdings Inc.,FL,No,19
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,VA,Yes,15
Bank account or service,Problems caused by my funds being low,Bank of America,CA,No,17
Credit card,Closing/Cancelling account,Amex,CA,No,11
Bank account or service,"Account opening, closing, or management",Bank of America,CA,No,17
Credit card,Privacy,Capital One,MI,Yes,10
Credit reporting,Credit monitoring or identity protection,Experian,HI,No,0
Debt collection,Improper contact or sharing of info,"Southwest Credit Systems, L.P.",TN,No,2
Credit reporting,Credit reporting company's investigation,Experian,VA,No,0
Credit card,Advertising and marketing,Capital One,KY,No,3
Mortgage,Settlement process and costs,JPMorgan Chase & Co.,OH,No,7
Mortgage,"Loan servicing, payments, escrow account",E*Trade Bank,CA,Yes,12
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,AL,Yes,15
Mortgage,"Loan servicing, payments, escrow account",Ocwen,TX,Yes,8
Credit card,Late fee,Bank of America,CO,No,17
Mortgage,"Loan servicing, payments, escrow account",Bank of America,WI,Yes,4
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,NJ,No,9
Credit reporting,Credit reporting company's investigation,Experian,OK,No,0
Debt collection,"Loan modification,collection,foreclosure","Navient Solutions, Inc.",UT,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,Yes,15
Credit card,Closing/Cancelling account,Discover,TX,Yes,12
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,DC,No,6
Debt collection,Communication tactics,Citibank,MO,No,3
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,CO,No,6
Credit card,Credit card protection / Debt protection,Discover,IL,No,0
Debt collection,"Loan modification,collection,foreclosure",Ditech Financial LLC,KS,No,0
Student loan,Dealing with my lender or servicer,Utah System of Higher Education,SC,No,9
Mortgage,"Loan servicing, payments, escrow account",Bank of America,WA,No,17
Consumer Loan,Shopping for a loan or lease,World Acceptance Corporation,TX,No,9
Debt collection,"Loan modification,collection,foreclosure","Portfolio Recovery Associates, Inc.",AZ,No,6
Credit card,Delinquent account,JPMorgan Chase & Co.,CA,Yes,1
Debt collection,False statements or representation,"Financial Asset Management Systems, Inc.",CA,No,0
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Credit card,Credit determination,Bank of America,CA,Yes,4
Student loan,Problems when you are unable to pay,Wells Fargo & Company,WA,No,9
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",MI,No,14
Credit card,Identity theft / Fraud / Embezzlement,Capital One,MN,No,3
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",GA,No,16
Credit reporting,Credit monitoring or identity protection,Equifax,NC,No,0
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,GA,No,9
Credit card,Collection practices,Citibank,TX,Yes,10
Mortgage,"Application, originator, mortgage broker",Bank of America,OR,No,17
Credit card,Transaction issue,Barclays PLC,NE,No,17
Student loan,Dealing with my lender or servicer,Genesis Lending,CA,No,19
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Yes,4
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",FL,Yes,5
Credit card,Billing disputes,Citibank,NJ,No,3
Credit card,Closing/Cancelling account,Citibank,FL,No,3
Debt collection,Improper contact or sharing of info,BBVA Compass,AZ,No,17
Bank account or service,"Account opening, closing, or management",Synchrony Financial,MA,No,2
Mortgage,"Loan servicing, payments, escrow account","Bayview Loan Servicing, LLC",DE,Yes,4
Student loan,Repaying your loan,KeyCorp,MI,No,7
Debt collection,Communication tactics,Mid-Atlantic Consumer Services,NC,No,16
Consumer Loan,Managing the line of credit,PNC Bank N.A.,NJ,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Bank of America,WA,No,17
Student loan,Repaying your loan,"Navient Solutions, Inc.",MA,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,MN,No,9
Mortgage,"Loan servicing, payments, escrow account",Bank of America,OH,No,17
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",NY,No,14
Debt collection,"Loan modification,collection,foreclosure","National Recovery Solutions, LLC",PA,No,16
Debt collection,"Loan modification,collection,foreclosure","Stuart-Lippman and Associates, Inc",CT,No,2
Mortgage,"Application, originator, mortgage broker",Quicken Loans,NJ,No,13
Bank account or service,"Account opening, closing, or management",Citibank,AZ,No,3
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,PA,Yes,12
Credit reporting,Improper use of my credit report,Equifax,TX,No,0
Debt collection,"Loan modification,collection,foreclosure","Trident Asset Management, L.L.C.",FL,No,14
Bank account or service,Using a debit or ATM card,Wells Fargo & Company,ND,No,9
Credit card,APR or interest rate,U.S. Bancorp,CA,No,14
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,CA,No,7
Debt collection,Improper contact or sharing of info,"Delta Management Associates, Inc.",VA,No,0
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",NY,Yes,8
Debt collection,"Loan modification,collection,foreclosure",Performant Financial Corporation,IA,No,6
Debt collection,Improper contact or sharing of info,"I.C. System, Inc.",NY,No,7
Debt collection,Communication tactics,HSBC North America Holdings Inc.,CA,No,19
Debt collection,Communication tactics,"National Credit Systems,Inc.",OK,Yes,8
Debt collection,Communication tactics,"Integrity Solution Services, Inc.",OH,No,7
Bank account or service,Problems caused by my funds being low,"SunTrust Banks, Inc.",TN,No,2
Bank account or service,"Account opening, closing, or management","SunTrust Banks, Inc.",FL,Yes,5
Money transfers,Fraud or scam,JPMorgan Chase & Co.,CO,No,7
Mortgage,"Application, originator, mortgage broker",TD Bank US Holding Company,FL,No,2
Bank account or service,Problems caused by my funds being low,Regions Financial Corporation,TX,No,13
Mortgage,"Loan servicing, payments, escrow account",Ocwen,PA,Yes,8
Debt collection,False statements or representation,"Diversified Consultants, Inc.",WA,Yes,12
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,NM,No,7
Credit card,Billing disputes,Capital One,NC,No,3
Credit reporting,Credit reporting company's investigation,Equifax,NY,No,0
Mortgage,Settlement process and costs,Ocwen,MD,No,6
Debt collection,Taking/threatening an illegal action,"Hiday & Ricke, P.A.",FL,No,19
Credit reporting,Credit monitoring or identity protection,Equifax,FL,Yes,12
Debt collection,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,MA,No,7
Credit reporting,Credit reporting company's investigation,Equifax,CO,No,0
Credit reporting,Credit reporting company's investigation,Experian,FL,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,PA,No,17
Mortgage,"Loan servicing, payments, escrow account",Bank of America,GA,No,17
Credit reporting,Credit reporting company's investigation,Equifax,FL,Yes,12
Credit card,Billing statement,Capital One,AZ,No,3
